film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
A Thousand Clowns,1965,1965,118,7.4,3349,18894f37-9638-447a-970c-11024860541f
A Man for All Seasons,1966,1966,120,7.7,33107,d9e00e8e-315d-4507-9eb2-bf89bde7779a
Alfie,1966,1966,114,7.0,14178,cb3bba47-5662-4b6d-b6fe-fab2b97102ac
The Russians Are Coming the Russians Are Coming,1966,1966,126,7.0,8473,c73f5f10-891e-4204-b848-e5a9e422ad9f
The Sand Pebbles,1966,1966,182,7.6,14184,dc277c9f-c5fd-46fa-8b70-25dadbc444cb
Whos Afraid of Virginia Woolf?,1966,1966,131,8.0,72597,34a129cf-eb80-461b-a6da-c8f46df67c60
In the Heat of the Night,1967,1967,110,7.9,70719,467a1595-1c69-442d-ab43-92f68b932ddc
Bonnie and Clyde,1967,1967,111,7.8,107803,88b6470e-a145-47f2-b74a-3ba3266f2e4f
Doctor Dolittle,1967,1967,152,6.2,9028,0d5b2439-d817-4a04-ada3-446556084561
The Graduate,1967,1967,106,8.0,261921,da0bc2bf-7a48-44b7-be73-8e61624bc7b1
Guess Whos Coming to Dinner,1967,1967,108,7.8,41907,2c26535d-eada-47be-8af1-75bbe5eeed78
Oliver!,1968,1968,153,7.4,36386,bc77f25e-71fa-4563-be5d-47648fe69070
Funny Girl,1968,1968,151,7.4,21174,83010621-a7cc-4e5e-b770-7bdb7c643cd2
The Lion in Winter,1968,1968,134,7.9,30196,15a28039-7a34-4e2d-89ea-ff8d61b669ff
Rachel Rachel,1968,1968,101,7.3,3213,55fcf55d-06e6-4b54-8133-aca96742158c
Romeo and Juliet,1968,1968,138,7.6,30500,b89ed64f-55e8-4c3e-80ee-e7ba748531ab
Midnight Cowboy,1969,1969,113,7.8,106077,bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
Anne of the Thousand Days,1969,1969,145,7.5,7138,56358a21-e826-4674-a4b5-aefbf11395a0
Butch Cassidy and the Sundance Kid,1969,1969,110,8.0,208400,174d890a-717f-4f2d-bff6-03b91ede8466
Hello Dolly!,1969,1969,146,7.1,14420,204c5d1d-ac8b-41fe-ba95-77c323121c43
Z,1969,1969,127,8.3,25227,65fd73b8-d854-42fb-97eb-2ed7866c831d
Patton,1970,1970,172,7.9,98155,542831fe-9ee4-4997-badb-98cabd43c3d2
Airport,1970,1970,137,6.6,18289,5bbfb550-a96e-49a4-90fc-a8351617e709
Five Easy Pieces,1970,1970,98,7.5,35199,0d283411-d75d-413e-b31c-ece555cf661f
